# CleaveLand4 degradome density
# Fri Nov 16 23:48:00 PST 2018
# Degradome Reads:U_TnF2.fa
# Transcriptome:Tae.TGACv1.cdna.fixed.fa
# TranscriptomeCharacters:328404938
# Mean Degradome Read Size:20
# Estimated effective Transcriptome Size:325302598
# Category 0:44759
# Category 1:53045
# Category 2:475323
# Category 3:140868
# Category 4:3119329

## TEST 1: No significant cut sites in either treatment.
## TEST 1: No output.
@ID:TRIAE_CS42_U_TGACv1_642099_AA2111460.1
@LN:944
42	1	4
43	1	4
204	2	2
227	1	4
230	2	2
258	1	4
264	1	4
290	1	4
291	1	4
326	1	4
327	1	4
331	1	4
341	1	4
343	1	4
345	1	4
347	1	4
351	1	4
364	1	4
373	1	4
381	2	2
389	4	2
390	1	4
395	1	4
405	1	4
411	1	4
441	1	4
448	1	4
453	1	4
454	1	4
463	1	4
464	1	4
474	1	4
481	1	4
482	2	2
483	1	4
492	1	4
499	1	4
501	1	4
523	1	4
526	1	4
547	1	4
552	1	4
564	1	4
569	1	4
572	1	4
577	1	4
579	1	4
584	1	4
585	2	2
593	2	2
601	1	4
608	2	2
629	1	4
637	1	4
667	1	4
671	1	4
673	1	4
675	1	4
677	1	4
679	2	2
683	1	4
686	1	4
716	2	2
717	1	4
720	1	4
736	1	4
749	1	4
768	1	4
772	1	4
778	1	4
804	1	4
805	1	4
813	4	2
814	5	0
821	1	4
825	2	2
828	1	4
834	1	4
836	1	4
862	2	2

## TEST 2: Cut site with significant reads in Inf (pos 528); no reads at the cut site in Uninf.
## TEST 2: Output "TRIAE_CS42_7AS_TGACv1_569469_AA1816820.1	528"
@ID:TRIAE_CS42_7AS_TGACv1_569469_AA1816820.1
@LN:973
253	1	4
365	1	4
373	1	4
398	1	4
437	1	4
443	1	4
460	1	4
462	1	4
545	1	4
553	1	4
558	1	4
569	1	4
587	1	4
593	1	4
604	1	4

## TEST 3: Cut site with significant reads in both treatments (pos 402).
## TEST 3: No output.
@ID:TRIAE_CS42_U_TGACv1_642344_AA2116140.1
@LN:1151
6	1	4
14	1	4
15	1	4
16	2	2
28	3	1
29	1	4
30	2	2
50	1	4
52	2	2
59	1	4
74	2	2
75	2	2
84	1	4
161	1	4
200	1	4
216	1	4
226	1	4
255	1	4
271	1	4
315	1	4
331	1	4
339	1	4
355	1	4
365	1	4
381	1	4
397	1	4
402	24	0
413	1	4
457	1	4
509	1	4
518	1	4
527	1	4
528	1	4
538	1	4
570	1	4
639	1	4
640	1	4
641	1	4
643	1	4
659	1	4
662	1	4
668	1	4
673	1	4
674	1	4
690	1	4
703	1	4
710	1	4
738	1	4
740	1	4
743	1	4
746	1	4
756	1	4
758	1	4
760	1	4
775	1	4
796	1	4
800	1	4
858	3	1
863	1	4
879	1	4
885	1	4
899	1	4
907	1	4
921	1	4
931	1	4
939	1	4
975	1	4
1021	1	4
1022	1	4
1029	1	4
1038	3	1
1040	1	4
1058	1	4
1071	1	4
1079	2	2
1080	2	2
1082	1	4
1083	2	2
1088	1	4
1118	2	2
1126	1	4
1129	1	4
1131	1	4

## TEST 4: Significant reads at cut site (pos 883) in Inf; only one read at site in Uninf.
## TEST 4: Output: "TRIAE_CS42_5AL_TGACv1_376988_AA1243030.1	883"
@ID:TRIAE_CS42_5AL_TGACv1_376988_AA1243030.1
@LN:1109
258	2	2
463	1	4
573	1	4
578	1	4
623	1	4
669	1	4
761	2	2
764	1	4
765	2	2
767	1	4
772	1	4
779	1	4
781	1	4
785	1	4
792	2	2
793	5	0
798	2	2
806	1	4
818	1	4
822	1	4
833	1	4
837	1	4
852	1	4
854	1	4
863	1	4
871	1	4
872	1	4
875	1	4
881	2	2
883	1	4
887	1	4
899	1	4
907	1	4
911	2	2
916	1	4
945	1	4
951	1	4
957	1	4
958	1	4
968	1	4
972	1	4
991	2	2
993	1	4
994	1	4
996	1	4
997	1	4
998	1	4
999	1	4
1004	1	4
1005	1	4
1007	1	4
1010	1	4
1013	1	4
1018	1	4
1022	2	2
1034	2	2
1039	1	4
1042	1	4
1043	1	4
1045	1	4
1046	1	4
1052	1	4
1060	1	4
1061	1	4
1065	1	4
1066	1	4
1067	1	4
1068	1	4
1070	1	4
1071	1	4
1074	3	2
1076	1	4

## TEST 5: Significant reads at cut site (pos 231) in Inf; several reads in Uninf.
## TEST 5: No output.
@ID:TRIAE_CS42_4AS_TGACv1_307722_AA1023000.2
@LN:3117
99	1	4
231	4	1
361	1	4
410	1	4
427	1	4
543	1	4
614	1	4
1191	1	4
